2024-01-12 21:40:45,636 - INFO - [Restart 1] 496) Best value: -1.82e-01 | TR length: 8.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:46,339 - INFO - [Restart 1] 500) Best value: -1.82e-01 | TR length: 8.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:40:46,933 - INFO - [Restart 1] 504) Best value: -1.82e-01 | TR length: 8.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:47,324 - INFO - [Restart 1] 508) Best value: -1.82e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:47,779 - INFO - [Restart 1] 512) Best value: -1.39e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:48,295 - INFO - [Restart 1] 516) Best value: -1.06e-01 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:40:48,884 - INFO - [Restart 1] 520) Best value: -8.66e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:40:49,523 - INFO - [Restart 1] 524) Best value: -8.66e-02 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:50,015 - INFO - [Restart 1] 528) Best value: -7.73e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:50,501 - INFO - [Restart 1] 532) Best value: -7.73e-02 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:51,238 - INFO - [Restart 1] 536) Best value: -7.73e-02 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:51,890 - INFO - [Restart 1] 540) Best value: -7.38e-02 | TR length: 4.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:52,816 - INFO - [Restart 1] 544) Best value: -7.38e-02 | TR length: 4.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:40:53,841 - INFO - [Restart 1] 548) Best value: -7.38e-02 | TR length: 4.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:40:55,218 - INFO - [Restart 1] 552) Best value: -7.38e-02 | TR length: 4.00e-01 | num. restarts: 3/5 | num. successes: 0/10
